Borough,Ward,Incidents,Incidents,Incidents,Incidents,Incidents,Primary fires,Primary fires,Primary fires,Primary fires,Primary fires,Arson,Arson,Arson,Arson,Arson,"Dwelling fires
Hammersmith and Fulham,North End,164,184,166,178,148,18,15,14,20,16, 2 , 2 , 4 , 3 ,   , 12 , 6 , 9 , 15 , 11 ,1,1,1,1, ,1, , , , , , , , ,1,,
Hammersmith and Fulham,Munster,118,94,82,81,75,7,13,8,9,13, 1 ,   , 2 , 3 ,   , 7 , 10 , 5 , 5 , 11 , , ,1,1,2, , , , , , ,1, , ,2,,
Hammersmith and Fulham,Hammersmith Broadway,310,304,264,270,313,21,24,16,15,24, 4 , 2 , 1 , 3 , 4 , 6 , 11 , 6 , 8 , 14 , ,1, ,2,1, ,1, , , ,4,2, , ,2,,
Hammersmith and Fulham,Fulham Reach,117,119,104,109,98,9,14,13,18,4, 2 , 2 , 2 , 6 , 2 , 6 , 7 , 8 , 6 , 2 , , , , , , , , , , ,1,2, , ,2,,
Hammersmith and Fulham,Fulham Broadway,210,218,248,203,204,21,12,18,12,18, 1 ,   , 1 ,   , 3 , 15 , 11 , 12 , 8 , 9 ,5,2,4,1,1, , , , , ,5,1, , ,2,,
Hammersmith and Fulham,College Park and Old Oak,212,174,140,161,189,24,31,19,26,34, 10 , 9 , 8 , 13 , 16 , 5 , 14 , 5 , 2 , 6 , ,3, , , , , , , , , ,1,1,2,1,,
Hammersmith and Fulham,Avonmore and Brook Green,185,174,178,156,203,18,20,7,14,18,   , 2 , 1 , 1 , 1 , 14 , 14 , 3 , 7 , 13 ,2,1,1, ,2,1, , , , , ,1,1, ,1,,
Hammersmith and Fulham,Askew,158,189,156,181,206,23,18,21,20,16, 1 , 6 , 3 , 10 , 5 , 15 , 6 , 13 , 9 , 9 ,3,5,1,1,1, , , ,1, ,1, ,1, , ,,
Hammersmith and Fulham,Addison,166,139,151,144,168,14,17,15,11,19, 1 , 1 , 1 , 2 ,   , 12 , 9 , 12 , 7 , 14 , , ,1, , , , , , , ,1,5,2,1, ,,
Haringey,Woodside,130,118,145,168,144,22,18,13,20,28, 7 , 5 , 8 , 3 , 8 , 16 , 11 , 5 , 10 , 11 , , ,1, ,1, , , , , ,9,3, , ,2,,
Haringey,White Hart Lane,120,133,115,112,125,13,23,15,20,17, 2 , 17 , 6 , 10 , 11 , 7 , 11 , 7 , 10 , 9 , ,2,3, , , , , , , ,1,2, ,1, ,,
Haringey,West Green,142,117,131,145,156,11,20,21,11,14, 6 , 6 , 10 , 8 , 12 , 2 , 12 , 12 , 5 , 8 , , , , ,1, , , , , , , ,4, , ,,
Haringey,Tottenham Hale,182,196,167,198,205,21,18,24,18,20, 11 , 4 , 7 , 7 , 9 , 12 , 8 , 14 , 10 , 15 , , ,2, ,2, , , , , ,2, ,3,1,1,,
Haringey,Tottenham Green,240,249,209,257,233,20,17,19,21,27, 3 , 4 , 7 , 14 , 6 , 6 , 9 , 11 , 9 , 16 ,4,1,1,1,2, , , , ,1,1,1,4,3,2,,
Haringey,Stroud Green,111,110,72,94,105,9,13,7,11,17, 5 , 6 , 1 , 3 , 5 , 6 , 4 , 6 , 7 , 12 , ,1, ,1,1, ,1, , , , , ,1, , ,,
Haringey,St. Ann's,116,111,111,104,119,16,18,11,16,16, 6 , 6 , 5 , 8 , 3 , 10 , 12 , 5 , 9 , 11 , , , , , , , , , , ,1,6, ,1,2,,
Haringey,Seven Sisters,186,137,152,169,206,32,18,29,20,28, 9 , 5 , 13 , 15 , 5 , 15 , 13 , 17 , 10 , 18 ,1,1,3,1, , , ,1, ,1,8, , ,1, ,,
Haringey,Northumberland Park,242,253,276,274,293,26,30,28,31,29, 5 , 7 , 9 , 16 , 9 , 12 , 16 , 17 , 18 , 12 ,3,2,1,2,1, , , , ,1, ,6,8,3, ,,
Haringey,Noel Park,171,162,211,212,242,19,15,28,23,15, 5 , 9 , 12 , 9 , 12 , 11 , 9 , 16 , 11 , 10 , , , , , ,1, , , , ,3, ,4, , ,,
Haringey,Muswell Hill,115,121,98,150,97,10,14,13,14,11,   , 4 , 4 , 6 , 5 , 6 , 9 , 4 , 5 , 5 ,1,1,1, ,1, , , , , , ,1,1, , ,,
Haringey,Hornsey,161,138,127,116,147,19,13,6,6,21, 2 , 3 , 1 ,   , 6 , 15 , 7 , 5 , 5 , 14 ,4,3, , , , , , , , ,2, , ,1,1,,
Haringey,Highgate,74,89,84,94,99,8,17,20,15,12, 3 , 2 , 2 ,   , 3 , 2 , 12 , 12 , 9 , 4 , ,2,2, , , , , , , ,1, ,3,1,1,,
Haringey,Harringay,125,130,134,119,139,15,18,19,21,18, 2 , 4 , 2 , 1 , 4 , 8 , 11 , 15 , 13 , 10 , , , , , , , , , , ,2,2, ,1,1,,
Haringey,Fortis Green,99,126,111,131,100,9,16,16,17,9, 2 , 3 , 7 , 6 , 4 , 6 , 11 , 7 , 9 , 6 , ,2, , , , , , , , ,1,5, ,3, ,,
Haringey,Crouch End,152,136,124,106,123,16,8,16,9,12, 1 , 1 , 2 , 3 , 1 , 10 , 4 , 14 , 5 , 8 ,3,1,2, , , , , , , ,1, , ,2, ,,
Haringey,Bruce Grove,118,135,140,138,152,16,14,20,23,20, 1 , 1 , 8 , 7 , 5 , 13 , 9 , 12 , 17 , 12 ,1, , , ,1, , , , , ,1, ,1,2,1,,
Haringey,Bounds Green,127,126,118,130,143,17,17,20,19,14, 6 , 2 , 6 , 4 , 5 , 14 , 12 , 12 , 12 , 9 ,4, ,3,1, , , , ,1, , ,2,4, , ,,
Haringey,Alexandra,60,62,74,70,84,5,5,11,7,9,   ,   , 2 , 2 , 4 , 3 , 3 , 6 , 4 , 7 , , , , ,1, , , , , , , ,1,2, ,,
Harrow,West Harrow,34,51,36,44,47,6,11,10,4,8,   , 4 , 2 , 2 , 3 , 5 , 7 , 8 , 2 , 4 , , , , ,1, , , , , , , , , , ,,
Harrow,Wealdstone,101,96,76,94,100,10,10,7,11,13, 2 , 1 , 3 , 3 , 2 , 7 , 7 , 6 , 6 , 7 ,4,1, , , , , , , , ,1, , , ,4,,
Harrow,Stanmore Park,124,109,102,105,114,11,18,11,14,11, 2 , 6 , 3 , 3 , 6 , 7 , 11 , 6 , 10 , 5 , , ,2, ,1, , , , , ,1,1, , , ,,
Harrow,Roxeth,73,74,65,54,63,7,10,4,5,10, 1 , 2 , 3 ,   , 2 , 3 , 5 , 1 , 1 , 5 , ,1, , , , , , , , , , ,1, , ,,
Harrow,Roxbourne,130,95,108,95,105,18,6,15,13,14, 7 , 6 , 4 , 8 , 4 , 11 , 4 , 10 , 6 , 9 ,2,1,2,1, , , ,1, , ,3, , , , ,,
Harrow,Rayners Lane,47,41,31,42,52,9,7,7,3,5, 1 , 3 , 4 , 3 , 1 , 5 , 5 , 4 , 3 , 4 ,1,1,1, , , , , , , ,3, , , ,2,,
Harrow,Queensbury,41,53,45,53,44,6,11,8,7,3,   ,   ,   , 5 , 2 , 5 , 7 , 3 , 3 , 3 , , , , , , , , , , , , , ,1, ,,
Harrow,Pinner South,67,43,44,57,53,9,8,8,5,5, 1 , 1 , 2 , 3 , 1 , 5 , 6 , 6 , 2 , 3 ,1,1, , ,1, , , , , , , , , , ,,
Harrow,Pinner,76,79,73,74,86,10,14,9,10,4, 2 , 3 , 7 ,   ,   , 6 , 9 , 4 , 6 , 3 , , ,1,1, , , , , , ,3, ,1, , ,,
Harrow,Marlborough,103,119,97,114,108,24,14,11,13,17, 4 , 10 , 1 , 4 , 3 , 13 , 7 , 6 , 10 , 11 ,1,1, ,1, , , ,1, , , , ,1, ,2,,
Harrow,Kenton West,43,47,51,42,52,6,10,14,4,10, 2 , 2 , 2 , 1 , 5 , 3 , 7 , 10 , 3 , 5 , , , , , , , , , , ,1, , , ,1,,
Harrow,Kenton East,99,114,67,63,63,3,6,10,8,6, 3 , 2 , 3 , 2 , 3 , 3 , 4 , 6 , 5 , 5 , ,2,1,1, , , , , , ,1,2, ,1, ,,
Harrow,Headstone South,88,82,76,63,80,10,6,11,8,8, 4 , 3 , 2 , 1 , 2 , 9 , 2 , 9 , 5 , 3 , , , , , , , , , , , , , , , ,,
Harrow,Headstone North,43,55,49,74,69,3,7,7,9,3,   , 2 , 1 , 3 , 1 , 2 , 5 , 4 , 4 , 1 ,1,1, , , , , , , , , , ,1,1, ,,
Harrow,Hatch End,48,68,52,47,68,6,3,8,3,6, 2 , 4 , 1 , 3 ,   , 1 , 2 , 4 ,   , 3 , , ,1, , , , , , , , , , , , ,,
Harrow,Harrow Weald,124,139,118,117,128,12,13,10,6,15, 3 , 7 , 3 , 1 , 4 , 9 , 7 , 5 , 4 , 8 ,2,2,1,1,1, , , , , , , , , , ,,
Harrow,Harrow on the Hill,136,140,135,142,104,10,13,10,15,12, 3 , 1 , 3 , 2 , 3 , 5 , 8 , 3 , 6 , 7 ,1,1,1,1, , , , , , , ,1,1,1,3,,
Harrow,Greenhill,209,216,196,212,205,23,21,17,14,11, 3 , 5 , 5 , 1 , 1 , 13 , 8 , 8 , 5 , 3 ,5,3,3, ,2, , , , , , , ,1, , ,,
Harrow,Edgware,86,79,58,93,77,7,13,10,8,8, 3 ,   , 2 , 2 , 4 , 4 , 5 , 7 , 2 , 6 , ,2, , ,1, , , , , ,1, , ,1, ,,
Harrow,Canons,189,162,129,126,131,9,14,14,14,18, 3 , 2 , 3 , 7 , 5 , 7 , 7 , 9 , 10 , 8 , ,1,1, ,2, , , , , , ,2, ,4,1,,
Harrow,Belmont,77,61,71,63,45,9,4,8,7,4, 1 ,   , 3 , 2 ,   , 6 , 2 , 5 , 5 , 4 ,1, , , , , , , , , , , , , , ,,
Havering,Upminster,96,104,101,112,102,14,17,15,20,17, 8 , 11 , 12 , 13 , 11 , 3 , 4 , 8 , 5 , 3 ,1,2, , , , , , , , ,1, , ,1, ,,
Havering,St. Andrew's,133,120,136,138,140,13,14,16,12,14, 6 , 9 , 8 , 1 , 7 , 9 , 8 , 5 , 5 , 4 ,3, ,3,2,1, , , , , ,1,1, , , ,,
Havering,Squirrel's Heath,94,107,115,91,114,10,16,16,8,14, 2 , 7 , 2 , 5 , 7 , 6 , 7 , 11 , 2 , 9 , , ,2,1, , , , , , ,1, ,1, ,3,,
Havering,South Hornchurch,116,171,183,155,179,20,29,26,21,19, 8 , 18 , 13 , 10 , 14 , 5 , 10 , 5 , 6 , 7 ,1, , ,1, , , , ,1, , ,2,4,2,1,,
Havering,Romford Town,288,302,271,325,294,20,14,28,30,23, 11 , 7 , 17 , 22 , 13 , 11 , 2 , 12 , 14 , 6 ,1,2,7,1, , , , , , ,1, ,1,1,1,,
Havering,Rainham and Wennington,134,169,165,165,164,27,21,24,24,21, 10 , 13 , 12 , 9 , 15 , 4 , 5 , 9 , 3 , 4 , , , ,1, ,1, , , , ,3,3, ,1, ,,
Havering,Pettits,102,79,65,91,92,13,11,6,11,8, 3 , 5 , 2 , 8 , 11 , 6 , 5 , 4 , 1 , 1 , , , ,1, , , , , , ,1, , , , ,,
Havering,Mawneys,77,66,66,71,102,13,6,10,9,15, 2 , 2 , 5 , 9 , 12 , 6 , 2 , 4 , 4 , 5 , , ,1, , , , , , , ,2, , , ,1,,
Havering,Hylands,79,90,89,108,86,6,6,9,11,7, 5 , 9 , 5 , 13 , 10 , 5 ,   , 6 , 4 , 6 , ,1, ,2, , , , , ,3, , , ,4, ,,
Havering,Heaton,127,137,128,118,130,19,15,13,13,13, 11 , 22 , 24 , 13 , 18 , 11 , 7 , 3 , 5 , 7 ,2, ,1,1,1, , , , , ,2,2, , ,1,,
Havering,Havering Park,72,80,78,89,89,8,8,12,18,12, 3 , 8 , 18 , 6 , 11 , 6 , 6 , 5 , 10 , 4 , ,1,1,2, , , , , , ,2, ,1,1, ,,
Havering,Harold Wood,129,140,138,113,132,7,14,18,19,12, 6 , 8 , 10 , 8 , 18 , 3 , 8 , 6 , 10 , 3 , , ,2, , , , , , , ,2, ,1,2, ,,
Havering,Hacton,44,31,47,59,51,4,3,11,8,9,   , 3 , 3 , 4 , 2 , 2 , 2 , 5 , 4 , 6 , , , , , , , , , , , , ,6,1,1,,
Havering,Gooshays,193,200,188,188,212,28,25,18,25,34, 24 , 32 , 22 , 38 , 36 , 11 , 9 , 3 , 8 , 18 ,2,1,1,1, , ,1, , , ,5,1, ,2, ,,
Havering,Emerson Park,70,64,54,71,72,7,8,7,5,13, 5 , 1 , 3 ,   , 6 , 1 , 6 , 2 , 4 , 7 ,1, ,1, , , , , , , , ,1, , , ,,
Havering,Elm Park,64,75,75,99,95,8,7,8,16,17, 9 , 8 , 8 , 14 , 11 , 5 , 3 , 3 , 6 , 8 , ,2, , ,2, , , , , , , , , ,1,,
Havering,Cranham,72,84,73,63,61,12,9,8,7,9, 4 , 5 , 5 , 6 , 9 , 8 , 4 , 5 , 3 , 4 ,2,1, ,1,1, , , , , ,1, , , , ,,
Havering,Brooklands,209,164,174,197,211,21,14,26,22,23, 11 , 5 , 18 , 10 , 13 , 5 , 9 , 9 , 13 , 7 , ,1,1,4,1, , , , , ,1,3,1,2,1,,
Hillingdon,Yiewsley,151,153,150,142,156,17,19,26,26,20, 23 , 23 , 24 , 13 , 19 , 6 , 6 , 6 , 9 , 5 ,1,2, ,1, , , , , , , , , ,1, ,,
Hillingdon,Yeading,109,129,103,129,120,18,14,8,18,18, 6 , 7 , 9 , 9 , 13 , 9 , 8 , 4 , 6 , 6 , ,1, , ,1, ,1, , , , ,3,1,2, ,,
Hillingdon,West Ruislip,108,123,109,91,121,11,12,6,10,14, 6 , 2 , 2 , 5 , 1 , 4 , 6 , 5 , 4 , 9 ,3,3, ,1,2, , , , , , , ,1, , ,,
Hillingdon,West Drayton,178,125,156,161,141,36,22,32,23,24, 25 , 12 , 22 , 22 , 30 , 14 , 11 , 14 , 13 , 9 ,2, ,3,2, , , , , , ,5,1, , ,1,,
Hillingdon,Uxbridge South,184,184,167,168,159,23,26,26,23,18, 12 , 10 , 9 , 11 , 8 , 12 , 9 , 10 , 7 , 5 , , , , ,1, ,1, , , ,3, ,1,5, ,,
Hillingdon,Uxbridge North,160,145,173,167,182,22,19,14,23,17, 5 , 5 , 10 , 13 , 11 , 11 , 6 , 4 , 5 , 8 , ,3,1,2,3, ,1, , , ,2, , ,1, ,,
Hillingdon,Townfield,244,201,253,207,223,25,24,31,28,30, 21 , 10 , 18 , 18 , 18 , 6 , 8 , 9 , 13 , 10 , ,1,1,1,1, , , , , , , ,1,1,1,,
Hillingdon,South Ruislip,100,94,102,113,101,11,6,8,12,17, 5 , 9 , 3 , 4 , 8 , 6 , 4 , 6 , 5 , 10 , , , , ,1, , , , , , , , ,1,3,,
Hillingdon,Pinkwell,129,152,132,133,137,26,17,24,19,15, 11 , 9 , 14 , 17 , 13 , 9 , 9 , 11 , 8 , 6 ,1, , , , , , , , , ,5, ,3, , ,,
Hillingdon,Northwood Hills,81,93,78,89,112,10,5,9,4,13, 5 , 5 , 5 , 1 , 4 , 6 , 3 , 3 , 3 , 6 , , ,1, ,1, , , , , ,1, , , , ,,
Hillingdon,Northwood,140,147,142,107,126,13,10,10,17,13, 3 , 2 , 2 , 2 , 3 , 5 , 6 , 7 , 7 , 5 , , ,1,1, , , , , , , ,1, , , ,,
Hillingdon,Manor,58,72,72,63,80,6,8,10,5,12, 4 , 1 ,   , 1 , 5 , 5 , 2 , 5 , 3 , 5 , , , , , , , , , , , , ,2, , ,,
Hillingdon,Ickenham,56,57,49,62,64,5,9,8,11,9, 8 , 5 , 2 , 2 , 2 , 2 , 2 , 2 , 6 , 4 , , , , ,1, , , , , , , ,2, , ,,
Hillingdon,Hillingdon East,74,82,85,81,94,5,13,14,6,22, 9 , 5 , 7 , 9 , 10 , 3 , 5 , 6 , 2 , 10 , , , , , , , , , , , , ,2, ,1,,
Hillingdon,Heathrow Villages,1029,1009,541,611,665,105,84,89,94,112, 17 , 18 , 14 , 12 , 18 , 8 , 11 , 4 , 8 , 7 , ,1, ,2,1, , , , , , , ,2,4,1,,
Hillingdon,Harefield,138,113,106,92,104,10,21,22,18,16, 17 , 22 , 17 , 10 , 7 , 6 , 3 , 5 , 3 , 5 ,1, , ,1, , ,1, , , ,1,3, ,1, ,,
Hillingdon,Eastcote and East Ruislip,59,75,55,70,83,7,13,5,10,10, 4 , 3 , 1 , 4 , 5 , 7 , 7 , 3 , 6 , 7 , , , ,1, , , , , , , ,1, ,2, ,,
Hillingdon,Charville,68,70,60,82,94,14,10,12,16,14, 6 , 2 , 4 , 12 , 7 , 8 , 5 , 10 , 7 , 4 ,1, , , , , , , , , ,1,1, ,6,1,,
Hillingdon,Cavendish,51,45,73,74,77,7,5,9,9,6, 1 , 4 , 4 , 2 , 6 , 3 , 1 , 3 , 4 , 3 , ,1, ,1, , , , , , , , ,4, , ,,
Hillingdon,Brunel,209,203,149,147,146,29,23,21,23,25, 8 , 8 , 8 , 10 , 8 , 14 , 7 , 9 , 7 , 8 ,3, , , , ,1, , , , ,2,1,1,1,8,,
Hillingdon,Botwell,220,224,184,196,200,32,35,35,28,29, 19 , 24 , 21 , 21 , 27 , 9 , 11 , 10 , 6 , 6 , ,1,2, , , , , , , , ,4, , , ,,
Hillingdon,Barnhill,80,106,76,94,96,13,16,11,17,21, 7 , 9 , 5 , 13 , 16 , 8 , 10 , 5 , 4 , 8 , , , , , , , , , , ,2, ,1,2, ,,
Hounslow,Turnham Green,202,189,184,193,217,15,16,18,18,9, 7 , 2 , 2 , 2 , 2 , 7 , 7 , 11 , 7 , 6 , , ,1,2, , , , , , , ,2,3, ,1,,
Hounslow,Syon,183,169,163,144,139,11,19,19,21,18, 5 , 1 , 7 , 8 , 4 , 2 , 6 , 8 , 8 , 8 , , ,1, ,1, , , , , , ,3, , ,1,,
Hounslow,Osterley and Spring Grove,165,176,166,154,163,14,18,15,10,27, 11 , 3 , 7 , 4 , 6 , 4 , 6 , 4 , 2 , 10 , , , ,1, , , , , , , ,1,1, ,2,,
Hounslow,Isleworth,80,114,107,103,125,14,22,21,12,17, 3 , 8 , 4 , 6 , 10 , 10 , 13 , 9 , 5 , 4 ,1, ,1,3,1, , ,1, , ,1, ,5, , ,,
Hounslow,Hounslow West,94,113,136,112,149,17,22,10,23,14, 12 , 6 , 8 , 2 , 7 , 8 , 12 , 4 , 12 , 5 ,4,3, ,1,1, , , , , ,2,3, , , ,,
Hounslow,Hounslow South,40,46,52,43,53,10,12,10,12,5, 4 , 4 , 2 , 5 , 4 , 6 , 9 , 7 , 6 , 2 , , , , , , , , , , , ,1, ,1, ,,
Hounslow,Hounslow Heath,78,124,112,113,102,11,15,13,18,9, 5 , 12 , 8 , 11 , 11 , 3 , 9 , 7 , 8 , 6 , ,1, ,1, , , , ,1, , , , , ,1,,
Hounslow,Hounslow Central,172,176,170,180,205,17,19,22,29,23, 9 , 6 , 7 , 11 , 6 , 7 , 9 , 13 , 11 , 11 ,1,4,3,3,2, , , , , , ,1,2, ,1,,
Hounslow,Heston West,119,140,142,152,145,15,19,16,23,16, 9 , 13 , 15 , 19 , 5 , 7 , 7 , 8 , 10 , 6 , , , , , , , , , , , , ,1, , ,,
Hounslow,Heston East,80,79,72,93,85,11,14,11,11,8, 10 , 9 , 3 , 7 , 7 , 4 , 7 , 7 , 6 , 7 , , , , , , , , , , , , , , , ,,
Hounslow,Heston Central,82,64,70,57,81,20,13,9,11,11, 6 , 5 , 9 , 8 , 10 , 15 , 8 , 6 , 3 , 5 , , , , , , ,2, , , ,1,2, , , ,,
Hounslow,Hanworth Park,136,148,112,183,151,16,19,14,21,19, 13 , 14 , 7 , 7 , 18 , 3 , 8 , 4 , 7 , 9 , , ,2, , , ,1, , , ,1,2,2,2, ,,
Hounslow,Hanworth,72,93,67,99,120,9,17,19,27,16, 3 , 12 , 10 , 14 , 20 , 6 , 4 , 8 , 11 , 3 , ,1, , , , , , , , ,4, , ,6,2,,
Hounslow,Feltham West,143,161,127,173,194,24,30,21,17,38, 17 , 28 , 16 , 14 , 34 , 11 , 7 , 4 , 7 , 13 , , , , , , , , , , ,2,2,1,1, ,,
Hounslow,Feltham North,118,115,110,123,121,22,16,14,20,11, 9 , 4 , 5 , 4 , 5 , 8 , 8 , 10 , 7 , 6 , ,1,2,1,1, , , , , ,1, , ,3, ,,
Hounslow,Cranford,131,111,88,87,127,19,11,9,13,15, 7 , 4 , 1 , 7 , 9 , 9 , 5 , 5 , 4 , 6 , , , , , , , , , , ,2,2,1, ,2,,
Hounslow,Chiswick Riverside,136,120,110,106,126,16,12,9,9,12, 6 , 2 , 1 , 3 , 2 , 7 , 7 , 7 , 5 , 6 , , ,1, , , , , , , , ,1,2, , ,,
Hounslow,Chiswick Homefields,118,108,93,107,92,15,14,13,12,9, 5 , 6 , 4 , 2 , 1 , 7 , 5 , 5 , 9 , 4 , , , , , ,1, , , , ,4,1, , ,1,,
Hounslow,Brentford,186,181,170,178,231,31,17,19,19,22, 9 , 9 , 5 , 10 , 11 , 15 , 10 , 9 , 9 , 10 ,2, ,3, , , , ,2, ,1, , , ,2, ,,
Hounslow,Bedfont,123,149,105,105,158,22,19,19,17,17, 12 , 20 , 10 , 7 , 14 , 10 , 5 , 8 , 7 , 8 ,1, , , ,1, , , , , , , , , , ,,
Islington,Tollington,193,149,145,171,168,22,13,14,18,16, 9 , 5 , 7 , 7 , 4 , 17 , 8 , 5 , 10 , 12 , , ,3,1, , , , , , , , , ,1, ,,
Islington,St. Peter's,213,234,162,173,181,12,13,18,19,16, 8 , 8 , 8 , 1 , 5 , 6 , 11 , 6 , 16 , 7 , , , ,2, , , , , ,1,2,2,1, ,2,,
Islington,St. Mary's,237,200,218,199,217,21,16,16,11,26, 6 , 3 , 5 , 2 , 1 , 13 , 10 , 6 , 5 , 14 ,1,1, , , , ,1, , , , ,2, , ,2,,
Islington,St. George's,178,154,154,155,145,15,18,20,15,17, 4 , 4 , 8 , 9 , 3 , 9 , 10 , 11 , 5 , 14 ,2,1,3, ,2,1, , , , ,1,1,1, , ,,
Islington,Mildmay,130,108,185,132,143,18,8,21,15,16, 3 , 4 , 7 , 5 , 2 , 13 , 3 , 10 , 10 , 11 ,2, , , , , , , , , , , , ,1,3,,
Islington,Junction,202,213,218,216,205,16,27,22,22,17, 3 , 7 , 6 , 8 , 3 , 9 , 12 , 13 , 15 , 8 ,3,2, ,1,1, , , , , , , ,3,3,2,,
Islington,Holloway,240,203,222,191,209,32,22,28,26,15, 16 , 4 , 6 , 5 , 6 , 15 , 13 , 17 , 12 , 9 , , ,1, ,1, , , , , , ,1,2,1,2,,
Islington,Hillrise,129,125,127,137,117,16,8,14,11,10, 6 , 8 , 13 , 11 , 6 , 10 , 2 , 8 , 10 , 7 ,2, ,1, , , , , , , ,1, , , , ,,
Islington,Highbury West,176,176,160,171,165,30,15,15,18,14, 8 , 1 , 1 , 2 , 4 , 18 , 10 , 13 , 8 , 8 , , , ,1, , , , , , ,1, , , ,1,,
Islington,Highbury East,114,139,152,145,164,6,16,28,9,10, 1 , 7 , 16 , 5 , 6 , 5 , 7 , 13 , 2 , 6 , ,1, ,1, , , , , , , , , , , ,,
Islington,Finsbury Park,211,206,235,239,231,27,16,19,20,20, 3 , 5 , 3 , 6 , 6 , 17 , 9 , 7 , 11 , 7 , , , , , , , , , , , ,1,2, ,1,,
Islington,Clerkenwell,309,320,263,305,266,27,20,21,23,17, 7 , 1 , 3 , 2 , 6 , 9 , 7 , 10 , 12 , 11 , , , ,2, , , , , , ,1, , , , ,,
Islington,Canonbury,135,117,125,114,113,18,14,13,12,9, 3 , 3 , 2 , 1 , 1 , 13 , 11 , 9 , 10 , 7 , , ,1, , , , , ,1, , , , , , ,,
Islington,Caledonian,230,242,216,219,223,32,39,36,37,32, 13 , 19 , 24 , 28 , 21 , 12 , 11 , 9 , 7 , 10 , ,1, ,1, , , , , , ,3,1, ,3,8,,
Islington,Bunhill,576,575,500,457,532,22,28,45,24,22, 4 , 16 , 8 , 8 , 2 , 12 , 11 , 19 , 9 , 11 , ,1,3, , , , , , , , ,1,1,1,1,,
Islington,Barnsbury,137,158,125,152,160,13,11,11,28,23, 3 , 3 , 2 , 13 , 10 , 6 , 5 , 8 , 12 , 13 , , ,2,2,1, , , ,1, ,1, ,2, ,1,,
Kensington and Chelsea,Stanley,337,282,235,248,212,22,20,20,19,16,   ,   ,   ,   ,   , 9 , 10 , 10 , 11 , 9 , , , , , , , , , , , ,1,1,4,1,,
Kensington and Chelsea,St. Helen's,106,114,94,90,99,7,11,9,8,5, 2 , 2 ,   , 1 ,   , 5 , 6 , 5 , 4 , 3 ,1,3,1,2,1, , , , , ,1, , , , ,,
Kensington and Chelsea,Royal Hospital,258,205,212,194,241,14,9,10,15,14,   ,   ,   ,   , 1 , 8 , 5 , 9 , 10 , 8 , , ,1, , , , , , , ,1, , , , ,,
Kensington and Chelsea,Redcliffe,128,137,134,117,120,8,11,19,7,13,   ,   , 1 ,   , 2 , 5 , 7 , 14 , 5 , 8 , , ,1, , , , , , , , ,1,2,1,4,,
Kensington and Chelsea,Queen's Gate,171,181,190,180,206,9,10,13,18,18,   , 1 ,   ,   ,   , 4 , 8 , 5 , 11 , 12 , , , , , , , , , , , , , , , ,,
Kensington and Chelsea,Pembridge,119,111,106,120,98,9,8,5,5,7, 1 , 1 ,   , 2 ,   , 6 , 4 , 5 , 2 , 5 , ,1, , , , , , , , , , , , ,1,,
Kensington and Chelsea,Notting Dale,211,190,171,196,184,11,14,12,10,9,   , 6 , 2 ,   , 2 , 8 , 9 , 6 , 7 , 3 ,1,4,1,1, , , , , , ,1,1,1, , ,,
Kensington and Chelsea,Norland,77,81,119,75,81,3,6,6,7,5,   ,   ,   , 1 ,   , 2 , 5 , 4 , 3 , 3 , ,1,1, , , , , , , , , , , ,1,,
Kensington and Chelsea,Holland,123,121,138,115,110,12,16,16,6,8, 1 ,   ,   ,   , 1 , 10 , 10 , 14 , 4 , 6 , , , , , , , , , , ,7,1,1, , ,,
